upper_limit,lower_limit,final_value,profit_loss
1.01,0.9,101800.0,1800.0
1.01,0.91,101800.0,1800.0
1.01,0.92,101800.0,1800.0
1.01,0.93,101800.0,1800.0
1.01,0.94,101800.0,1800.0
1.01,0.95,101800.0,1800.0
1.01,0.96,101800.0,1800.0
1.01,0.97,101800.0,1800.0
1.01,0.98,99200.0,-800.0
1.01,0.99,99200.0,-800.0
1.02,0.9,103200.0,3200.0
1.02,0.91,103200.0,3200.0
1.02,0.92,103200.0,3200.0
1.02,0.93,103200.0,3200.0
1.02,0.94,103200.0,3200.0
1.02,0.95,103200.0,3200.0
1.02,0.96,103200.0,3200.0
1.02,0.97,103200.0,3200.0
1.02,0.98,103200.0,3200.0
1.02,0.99,100600.0,600.0
1.03,0.9,102500.0,2500.0
1.03,0.91,102500.0,2500.0
1.03,0.92,102500.0,2500.0
1.03,0.93,102500.0,2500.0
1.03,0.94,102500.0,2500.0
1.03,0.95,102500.0,2500.0
1.03,0.96,102500.0,2500.0
1.03,0.97,102500.0,2500.0
1.03,0.98,102500.0,2500.0
1.03,0.99,102500.0,2500.0
1.04,0.9,102500.0,2500.0
1.04,0.91,102500.0,2500.0
1.04,0.92,102500.0,2500.0
1.04,0.93,102500.0,2500.0
1.04,0.94,102500.0,2500.0
1.04,0.95,102500.0,2500.0
1.04,0.96,102500.0,2500.0
1.04,0.97,102500.0,2500.0
1.04,0.98,102500.0,2500.0
1.04,0.99,102500.0,2500.0
1.05,0.9,101800.0,1800.0
1.05,0.91,101800.0,1800.0
1.05,0.92,101800.0,1800.0
1.05,0.93,101800.0,1800.0
1.05,0.94,101800.0,1800.0
1.05,0.95,101800.0,1800.0
1.05,0.96,101800.0,1800.0
1.05,0.97,101800.0,1800.0
1.05,0.98,101800.0,1800.0
1.05,0.99,100700.0,700.0
1.06,0.9,101500.0,1500.0
1.06,0.91,101500.0,1500.0
1.06,0.92,101500.0,1500.0
1.06,0.93,101500.0,1500.0
1.06,0.94,101500.0,1500.0
1.06,0.95,101500.0,1500.0
1.06,0.96,101500.0,1500.0
1.06,0.97,101500.0,1500.0
1.06,0.98,101500.0,1500.0
1.06,0.99,101500.0,1500.0
1.07,0.9,101500.0,1500.0
1.07,0.91,101500.0,1500.0
1.07,0.92,101500.0,1500.0
1.07,0.93,101500.0,1500.0
1.07,0.94,101500.0,1500.0
1.07,0.95,101500.0,1500.0
1.07,0.96,101500.0,1500.0
1.07,0.97,101500.0,1500.0
1.07,0.98,101500.0,1500.0
1.07,0.99,101500.0,1500.0
1.08,0.9,101500.0,1500.0
1.08,0.91,101500.0,1500.0
1.08,0.92,101500.0,1500.0
1.08,0.93,101500.0,1500.0
1.08,0.94,101500.0,1500.0
1.08,0.95,101500.0,1500.0
1.08,0.96,101500.0,1500.0
1.08,0.97,101500.0,1500.0
1.08,0.98,101500.0,1500.0
1.08,0.99,101500.0,1500.0
1.09,0.9,101500.0,1500.0
1.09,0.91,101500.0,1500.0
1.09,0.92,101500.0,1500.0
1.09,0.93,101500.0,1500.0
1.09,0.94,101500.0,1500.0
1.09,0.95,101500.0,1500.0
1.09,0.96,101500.0,1500.0
1.09,0.97,101500.0,1500.0
1.09,0.98,101500.0,1500.0
1.09,0.99,101500.0,1500.0
1.1,0.9,101500.0,1500.0
1.1,0.91,101500.0,1500.0
1.1,0.92,101500.0,1500.0
1.1,0.93,101500.0,1500.0
1.1,0.94,101500.0,1500.0
1.1,0.95,101500.0,1500.0
1.1,0.96,101500.0,1500.0
1.1,0.97,101500.0,1500.0
1.1,0.98,101500.0,1500.0
1.1,0.99,101500.0,1500.0
1.11,0.9,101500.0,1500.0
1.11,0.91,101500.0,1500.0
1.11,0.92,101500.0,1500.0
1.11,0.93,101500.0,1500.0
1.11,0.94,101500.0,1500.0
1.11,0.95,101500.0,1500.0
1.11,0.96,101500.0,1500.0
1.11,0.97,101500.0,1500.0
1.11,0.98,101500.0,1500.0
1.11,0.99,101500.0,1500.0
1.12,0.9,101500.0,1500.0
1.12,0.91,101500.0,1500.0
1.12,0.92,101500.0,1500.0
1.12,0.93,101500.0,1500.0
1.12,0.94,101500.0,1500.0
1.12,0.95,101500.0,1500.0
1.12,0.96,101500.0,1500.0
1.12,0.97,101500.0,1500.0
1.12,0.98,101500.0,1500.0
1.12,0.99,101500.0,1500.0
1.13,0.9,101500.0,1500.0
1.13,0.91,101500.0,1500.0
1.13,0.92,101500.0,1500.0
1.13,0.93,101500.0,1500.0
1.13,0.94,101500.0,1500.0
1.13,0.95,101500.0,1500.0
1.13,0.96,101500.0,1500.0
1.13,0.97,101500.0,1500.0
1.13,0.98,101500.0,1500.0
1.13,0.99,101500.0,1500.0
1.14,0.9,101500.0,1500.0
1.14,0.91,101500.0,1500.0
1.14,0.92,101500.0,1500.0
1.14,0.93,101500.0,1500.0
1.14,0.94,101500.0,1500.0
1.14,0.95,101500.0,1500.0
1.14,0.96,101500.0,1500.0
1.14,0.97,101500.0,1500.0
1.14,0.98,101500.0,1500.0
1.14,0.99,101500.0,1500.0
1.15,0.9,101500.0,1500.0
1.15,0.91,101500.0,1500.0
1.15,0.92,101500.0,1500.0
1.15,0.93,101500.0,1500.0
1.15,0.94,101500.0,1500.0
1.15,0.95,101500.0,1500.0
1.15,0.96,101500.0,1500.0
1.15,0.97,101500.0,1500.0
1.15,0.98,101500.0,1500.0
1.15,0.99,101500.0,1500.0
1.16,0.9,101500.0,1500.0
1.16,0.91,101500.0,1500.0
1.16,0.92,101500.0,1500.0
1.16,0.93,101500.0,1500.0
1.16,0.94,101500.0,1500.0
1.16,0.95,101500.0,1500.0
1.16,0.96,101500.0,1500.0
1.16,0.97,101500.0,1500.0
1.16,0.98,101500.0,1500.0
1.16,0.99,101500.0,1500.0
1.17,0.9,101500.0,1500.0
1.17,0.91,101500.0,1500.0
1.17,0.92,101500.0,1500.0
1.17,0.93,101500.0,1500.0
1.17,0.94,101500.0,1500.0
1.17,0.95,101500.0,1500.0
1.17,0.96,101500.0,1500.0
1.17,0.97,101500.0,1500.0
1.17,0.98,101500.0,1500.0
1.17,0.99,101500.0,1500.0
1.18,0.9,101500.0,1500.0
1.18,0.91,101500.0,1500.0
1.18,0.92,101500.0,1500.0
1.18,0.93,101500.0,1500.0
1.18,0.94,101500.0,1500.0
1.18,0.95,101500.0,1500.0
1.18,0.96,101500.0,1500.0
1.18,0.97,101500.0,1500.0
1.18,0.98,101500.0,1500.0
1.18,0.99,101500.0,1500.0
1.19,0.9,101500.0,1500.0
1.19,0.91,101500.0,1500.0
1.19,0.92,101500.0,1500.0
1.19,0.93,101500.0,1500.0
1.19,0.94,101500.0,1500.0
1.19,0.95,101500.0,1500.0
1.19,0.96,101500.0,1500.0
1.19,0.97,101500.0,1500.0
1.19,0.98,101500.0,1500.0
1.19,0.99,101500.0,1500.0
1.2,0.9,101500.0,1500.0
1.2,0.91,101500.0,1500.0
1.2,0.92,101500.0,1500.0
1.2,0.93,101500.0,1500.0
1.2,0.94,101500.0,1500.0
1.2,0.95,101500.0,1500.0
1.2,0.96,101500.0,1500.0
1.2,0.97,101500.0,1500.0
1.2,0.98,101500.0,1500.0
1.2,0.99,101500.0,1500.0
